Mes_Ano,Vlr_Custodia,Acoes,BDRs,FIIs,ETFs,FIAGRO_FIDC,FI_INFRA,FIP,DIR_Subscr,BDR_ETF,ETF_Renda_Fixa,FIAGRO_FII,Retorno_Yield,Total_Rendimentos
DEZ/2019,70249.8248169026,273.9,0,208,0,0,0,0,0,0,0,0,0.685980358322618,481.9
JAN/2020,137532.620295368,608.31,0,244,0,0,0,0,0,0,0,0,0.619714797965429,852.31
